epoch,train_loss,train_dice,train_iou,train_time_s,val_loss,val_dice,val_iou,val_time_s,learning_rate
1,0.5080108992431475,0.020742789295542498,0.010535852123132867,6.36,0.5048104882240295,0.02446822263300419,0.012533619161695242,0.9,1e-05
2,0.5034516894299051,0.023611009849802307,0.012003885946519997,3.86,0.495462167263031,0.029297653399407864,0.015106062032282352,0.41,2.8e-05
3,0.4981467464695806,0.026915868298838967,0.013715505387391086,3.92,0.48799350261688235,0.03713707290589809,0.01937147295102477,0.41,4.6e-05
4,0.49114443556122156,0.035010235384106636,0.017964624779541857,3.86,0.4805568873882294,0.04990007616579532,0.02631455510854721,0.41,6.4e-05
5,0.4830813900284145,0.04642874761687025,0.02399994447098478,4.12,0.4724335730075836,0.06598846688866615,0.03531617019325495,0.48,8.2e-05
6,0.4752279545949853,0.05945807800668737,0.03103980598161402,4.11,0.45771414041519165,0.09257766678929329,0.050904329121112826,0.45,0.0001
7,0.46531894025595294,0.07766304727967667,0.041161092939665134,4.26,0.44390988945960996,0.11554278284311295,0.06527508869767189,0.42,9.98794204878613e-05
8,0.4502750363038934,0.10694708156844844,0.05738562078255674,3.88,0.4306148290634155,0.14881454557180404,0.08628786355257034,0.41,9.951826940270773e-05
9,0.4287896752357483,0.14951027427678523,0.08297142750867036,3.88,0.39775583148002625,0.20973865389823915,0.12663165777921676,0.41,9.891830623632339e-05
10,0.40154448022013123,0.20367175324455553,0.1166171099504699,3.87,0.3618424594402313,0.2790448576211929,0.17920417338609695,0.41,9.808245394894679e-05
11,0.36516625401766406,0.2755604522383731,0.16785695387617403,3.91,0.3279538780450821,0.3477756917476654,0.23082225173711776,0.45,9.701478472890248e-05
12,0.310316392261049,0.3850017669408218,0.24786481714766959,4.12,0.27289000153541565,0.4575887739658356,0.3186361700296402,0.42,9.572050015330875e-05
13,0.26878317737061047,0.46703897351803986,0.3185852798430816,4.2,0.2662373840808868,0.47195221185684205,0.3321851044893265,0.43,9.42059058465169e-05
14,0.2712711623829344,0.46339913166087604,0.3219998028615247,4.06,0.23048678636550904,0.5426302373409271,0.39449664354324343,0.41,9.247838075974309e-05
15,0.24815841699423996,0.5099548341139503,0.35480789775433746,4.02,0.22597282081842424,0.5524693369865418,0.40371076464653016,0.41,9.054634122155992e-05
16,0.2530894243846769,0.5009477877098581,0.35153577768284344,3.92,0.20153591334819793,0.6006623208522797,0.4508759111166,0.43,8.841919993438942e-05
17,0.23378458716299222,0.5388154173674791,0.3874207080706306,3.94,0.1955060087144375,0.6127193391323089,0.4631279408931732,0.43,8.610732011676325e-05
18,0.21270355258298956,0.5801743965433992,0.4345965555504612,4.27,0.1855706386268139,0.6326728880405426,0.48341797590255736,0.44,8.36219650147635e-05
19,0.2173609808087349,0.5712411639726033,0.4274639948878599,4.23,0.18854648172855376,0.6271230995655059,0.474968159198761,0.44,8.09752430286201e-05
20,0.21014854619684425,0.5862856228714404,0.4301390298034834,4.2,0.1889626920223236,0.6271330535411834,0.4793967604637146,0.44,7.818004872180198e-05
21,0.1938950093867986,0.6183541274589041,0.46088906409947766,4.18,0.1871239200234413,0.6301699757575989,0.4804215967655182,0.43,7.525000000000001e-05
22,0.18152306828161943,0.6425493087457574,0.4881973486879598,4.16,0.18144992887973785,0.6419427514076232,0.4916849911212921,0.43,7.219937176605935e-05
23,0.17583626152380652,0.6533666525198065,0.5020858762056931,4.12,0.17403092756867408,0.6568254768848419,0.5079222023487091,0.43,6.904302637408766e-05
24,0.17975470877212027,0.6459891640621683,0.4930194486742434,4.18,0.18327559158205986,0.6387078821659088,0.4887580990791321,0.45,6.579634122155991e-05
25,0.18433243910903516,0.6366664825574212,0.4854083809515704,4.3,0.17619915157556534,0.6529174387454987,0.5045051753520966,0.45,6.247513383218356e-05
26,0.15545439299034036,0.6934071520100469,0.5436670093432717,4.22,0.17919372171163558,0.647445273399353,0.5005840986967087,0.44,5.909558479451306e-05
