epoch,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou
1,0.08120439259542359,0.01732386467564437,0.00880129395906503,0.0703602384775877,0.019304284220561387,0.00992777377832681
2,0.046449686504072614,0.029295670096245077,0.015106046151938952,0.058117281273007394,0.027591250324621796,0.014166239253245293
3,0.034640933035148515,0.019971880939475443,0.010279112336300184,0.07324199713766574,0.03118815612979233,0.016030183481052517
4,0.02766414334376653,0.021182456896025947,0.010887770606980969,0.0859579335898161,0.047238091321196406,0.024577916739508508
5,0.022880088951852586,0.034054445057538234,0.017946037174745775,0.04526056889444589,0.056045069576794046,0.029747803610371194
6,0.019193920203381114,0.019713429710504392,0.010289030124679105,0.025782211497426034,0.06013748573386692,0.03185746896560886
7,0.015978746281729805,0.03668051013252504,0.01958397187869802,0.03356797490268946,0.060705331236385975,0.0321528437831148
8,0.013115656106836265,0.03312337372214339,0.017809351007922993,0.014246841799467802,0.04538954272284172,0.023962673672940582
9,0.011165454900927014,0.022458588255944455,0.011728215674520471,0.012359095364809036,0.05127459504874423,0.02711567296064459
10,0.009622737930880653,0.01142237803853479,0.006016196667850535,0.00939567033201456,0.04517665587336524,0.024073792212584523
11,0.008533747194127904,0.03031989248063635,0.016703773376664482,0.008429649099707604,0.03480089546355884,0.01842100465146359
12,0.007803376205265522,0.030403550058043845,0.016223316361801052,0.008373731467872857,0.05291580289485864,0.028289852401940152
13,0.007053781590527958,0.009158201372499914,0.004933688523548577,0.006987407710403204,0.021169391818693838,0.011151572861126623
14,0.006542262383219269,0.013795839406763358,0.00749135344748437,0.007379849022254348,0.049925082459230906,0.026712339036748745
15,0.0062995663533608115,0.030704168781085173,0.016325564568412828,0.006800000090152025,0.045873938126896975,0.024568184149393345
16,0.006025254736757941,0.009890555006535982,0.005327816736502832,0.007128908997401595,0.05355801670521032,0.028453528136014938
17,0.00577600420349174,0.007272971785116372,0.0038941678185235814,0.0059249306097626684,0.0290465187310474,0.015507160706329159
18,0.005650157647000419,0.011653265075195426,0.006187483474140107,0.006302954535931349,0.060739062157517766,0.03223433791572461
19,0.005424049776047468,0.02246849339013958,0.012001189349798045,0.0065543655771762134,0.04826224329735851,0.02595456363487756
20,0.005256635219686561,0.01315520811444407,0.0069454383075935764,0.005557720363140106,0.03688378921360709,0.019737479172181337
21,0.0050234944766594306,0.01449563091122804,0.007752061172504909,0.005152962822467089,0.029462145594879984,0.015727750305086375
22,0.004704095769880547,0.020070547214224157,0.010743867008487642,0.005572645552456379,0.05179214024683461,0.02763359904056415
23,0.004719075141474604,0.041295466739231616,0.02336898229259532,0.007185298623517156,0.06368342209607362,0.03399838380573783
24,0.00447840493482848,0.03933571158106335,0.021840434326117653,0.004712701216340065,0.06835177924949676,0.038536153215682135
25,0.00432776708362831,0.07230418573858009,0.04190598492407137,0.0052503141108900305,0.07605991170858033,0.04213950625271536
26,0.004272257360733217,0.08938443540504927,0.052817927643061716,0.0051327762892469765,0.06622909647994675,0.03586063075927086
27,0.004028374137770799,0.08903083002498735,0.05257597161657435,0.004257877869531512,0.0864946172107011,0.05201170411892235
28,0.004037900470818082,0.11851250904728658,0.0735506000805698,0.004044956644065678,0.09591098959208466,0.06367948006954975
29,0.0037605588893509572,0.15542009556536665,0.09585224204412145,0.0041501814732328056,0.15836783514823766,0.11161234041210263
30,0.0036507137171510194,0.24283376774918805,0.15996309880542361,0.004055286454968154,0.16871188953518867,0.1136317327618599
31,0.003383959348623951,0.3247799771411034,0.21923280120180505,0.0042273970553651456,0.276792831113562,0.1771739280084148
32,0.0032809799226621787,0.33093664442454207,0.2274159682051201,0.0035593428183346987,0.2174859654624015,0.14740885250503197
33,0.003286067106657558,0.3386878851335496,0.2286614227729539,0.003953488054685294,0.2734245091676712,0.17276304252445698
34,0.0031412876211106776,0.2980182910435057,0.19897001959422292,0.003513367590494454,0.2311915537342429,0.15640178555622697
35,0.0032374797026730245,0.31410553083341153,0.21279109227471055,0.003127935715019703,0.16677694385871292,0.11763103572884574
36,0.0029678957485076455,0.3885477779245573,0.268358937942604,0.003316425462253392,0.21197034176439047,0.144954834273085
37,0.002744162403461006,0.40502722275753816,0.28396413063423503,0.0031575730768963694,0.19349496942013503,0.13140365161234513
38,0.0027533860308014686,0.39444313760031946,0.2824302741255249,0.0035523190861567857,0.2400261014699936,0.15923407077789306
39,0.002779463168957995,0.41913020685832536,0.29066520269649726,0.004319726419635117,0.24026359096169472,0.1594773791730404
40,0.002706114285522037,0.4000158090454837,0.2820654870631794,0.0034251396777108313,0.2092353011481464,0.14232080327346922
41,0.002662777973132001,0.4274399279804331,0.2983946702837582,0.0034812785685062408,0.2774702966213226,0.1818408600986004
42,0.002602011063653562,0.45527208359498117,0.32746898982053,0.0030541523126885297,0.2928633313626051,0.19684922080487013
43,0.002480437896317906,0.5038370510149334,0.3641900338077297,0.0047130519291386005,0.2606171701103449,0.17164141181856393
