epoch,train_loss,train_dice,train_iou,train_time_s,val_loss,val_dice,val_iou,val_time_s,learning_rate
47,0.1929385018976111,0.8083419540995046,0.6953932674307572,24.45,0.5059206485748291,0.4945806305593578,0.37109872863802595,2.87,6.105833172181546e-06
48,0.19418198262390338,0.8069981308899036,0.703219743715109,32.35,0.4851380705833435,0.5157444603886688,0.38759273292089347,1.84,5.945358644943941e-06
49,0.21184871306544856,0.7892391591602447,0.6892413704925658,33.05,0.49096920490264895,0.5089488958416041,0.38735335650271735,2.54,5.783905056173615e-06
50,0.2121658293824447,0.7891532232491667,0.6900797173377788,32.96,0.48994202017784116,0.5110774747008691,0.3852050109679112,1.58,5.62164895299945e-06
51,0.2071373180339211,0.7940297029547908,0.6971908871308091,33.3,0.4773095726966858,0.5230918489251053,0.3931640006456291,2.46,5.458767760088043e-06
52,0.1810322458806791,0.8202116828424072,0.7254399155131787,33.41,0.49182845950126647,0.5082079430227168,0.38389830897795035,1.56,5.295439585632449e-06
53,0.19304635963941874,0.8082164234227477,0.7084833052588357,34.66,0.4899328351020813,0.5103434150951216,0.3834127185778925,1.87,5.131843026593472e-06
54,0.17488204413338712,0.8263443674965713,0.7241979803963515,33.01,0.493133956193924,0.507414872184745,0.3836306147131836,1.77,4.968156973406523e-06
55,0.1698186483822371,0.8316349129339582,0.7338244770898631,34.26,0.49389674663543703,0.506529479532037,0.38215485928813,1.8,4.804560414367548e-06
56,0.16347988655692652,0.8376045101567319,0.7363187353077688,32.88,0.4971849262714386,0.5028537402453367,0.3790489266219083,2.17,4.641232239911954e-06
57,0.1836823460302855,0.8174893324214377,0.7203187040102325,33.56,0.5030842125415802,0.4973023582511814,0.3733148098253878,1.65,4.478351047000549e-06
58,0.18694095784112028,0.8142539253764737,0.7171839247028785,32.65,0.49520450830459595,0.5047366540035,0.3831624402751913,1.65,4.316094943826381e-06
59,0.16595847434119174,0.8351997557267743,0.7352971031306017,33.72,0.4913229703903198,0.508974727318855,0.38469470411655493,1.88,4.154641355056055e-06
60,0.1499434482110174,0.8513318390683516,0.7592322452140874,32.8,0.4780520498752594,0.5219222672749311,0.3932621859479696,1.81,3.994166827818452e-06
61,0.14840637853271083,0.8528515429873216,0.75744694589,33.17,0.47979235649108887,0.5201074078708189,0.3925012096791761,1.66,3.834846838653043e-06
62,0.1678514378635507,0.8343893918790855,0.7376338704090909,32.52,0.49464952349662783,0.5052090322424192,0.38111985789728353,1.59,3.6768556016288687e-06
