epoch,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou
1,0.8795086887147692,0.03974786353509343,0.021098736644408846,0.8389208376407623,0.04503938956186175,0.024031123658642174
2,0.8089475247595045,0.06208987098394169,0.032833940256386994,0.7832153081893921,0.07137203887104988,0.039598064962774515
3,0.7581627302699618,0.08781210925016138,0.04759556871528427,0.738577002286911,0.08607850205153227,0.049837493989616635
4,0.7242672006289165,0.12225683443248272,0.06851293498960634,0.7007996082305908,0.12160135861486196,0.07671554442495107
5,0.6999803768263922,0.1719138729903433,0.10127322670175798,0.6800619125366211,0.17873968109488486,0.11387312747538089
6,0.681823918554518,0.2025198483116886,0.12394257689738879,0.6637858867645263,0.2586419596336782,0.17243618136271835
7,0.6673489040798611,0.23094117589854352,0.14719405740438055,0.6528550088405609,0.2571131937351311,0.17770115441235249
8,0.654012389977773,0.28272572039649174,0.17658255278155494,0.63749960064888,0.3110813323408365,0.205710494145751
9,0.6428245809343126,0.32339951731167577,0.21518341182220158,0.6312605977058411,0.3949273005127907,0.2631378874182701
10,0.6370197243160671,0.3083590936287591,0.19890412670243274,0.6229082643985748,0.3729933679103851,0.25634770318865774
11,0.627787090672387,0.3490015660257389,0.23258476517577137,0.6131160229444503,0.4092024490237236,0.28203208148479464
12,0.6188224077224731,0.3580047306035542,0.23651524456217884,0.6051226139068604,0.3672164104878902,0.2599504504352808
13,0.6109708706537883,0.3797247402369976,0.2530929997149441,0.6009422063827514,0.3441470548510551,0.2233045294880867
14,0.6018764310412936,0.3978647051586045,0.2662655212812953,0.5897783517837525,0.5115234106779099,0.36227441430091856
15,0.5943448623021443,0.44031674834744383,0.31163645043917415,0.5837854534387589,0.46044149398803713,0.3206070862710476
16,0.5885701007313199,0.41272251730163895,0.28663902829090754,0.5805901795625686,0.38926084488630297,0.2587056033313274
17,0.5842204027705722,0.41130380027882185,0.284113789615286,0.571940004825592,0.4663971602916718,0.321006890386343
18,0.5752278970347511,0.45115039256052114,0.316850962806105,0.5623711585998535,0.5509816110134125,0.4059353217482567
19,0.5665351616011726,0.4771709232073691,0.33680552676734,0.5574113309383393,0.524044106900692,0.3702367566525936
20,0.5620234290758769,0.4605113052866525,0.3268410524353385,0.5533757746219635,0.5682454228401184,0.4139240339398384
21,0.5579800698492262,0.46410269608151994,0.32844079330615283,0.544985967874527,0.5732081651687622,0.4230415865778923
22,0.5498657610681322,0.4719464534654334,0.3396275584864068,0.5397568017244339,0.5654678419232368,0.4194228142499924
23,0.5480457643667856,0.4751749946244268,0.33522720902175124,0.5337503880262375,0.5908435881137848,0.43936318904161453
24,0.5383652018176185,0.5092619908766614,0.36311311771472293,0.527582722902298,0.5727351278066635,0.42317989766597747
25,0.5331936942206489,0.488455434101181,0.3461997937401369,0.5259987384080886,0.5237612321972847,0.38079689294099806
26,0.5300133301152123,0.46839710548520086,0.335173115413636,0.5216464459896087,0.5683221489191055,0.4381798077374697
27,0.5223137060801188,0.4870482999003596,0.3548388383247786,0.5154295265674591,0.562979522231035,0.426317314687185
28,0.5153157002396054,0.5042258767618073,0.36092792708012794,0.5119283735752106,0.4610168322920799,0.3142803259193897
29,0.5072439564598932,0.5332335776752896,0.3891393100221952,0.5024223834276199,0.5527071118354797,0.40034937411546706
30,0.5031861497296227,0.5495033022430208,0.40446256779962114,0.5003508061170578,0.5589527949690819,0.40780213847756386
31,0.5000352177355024,0.5372139725653041,0.3932562292637562,0.4963441461324692,0.5860881954431534,0.4365603491663933
32,0.4946147249804603,0.5544886051780648,0.4121482143592503,0.4932495325803757,0.601903859525919,0.45940565392374993
33,0.49771941635343764,0.5177723607565794,0.3751830571020643,0.4938833564519882,0.5062158450484275,0.3540597327053547
34,0.49367398354742265,0.5162283675538168,0.3740573939349916,0.4882206290960312,0.6293467164039612,0.4809672862291336
35,0.4883180691136254,0.5613353906406297,0.4152878639598688,0.48519644141197205,0.5732728660106658,0.420586596429348
36,0.4864231288433075,0.544657395661731,0.4049808952394718,0.48360305428504946,0.625719991326332,0.4780935302376747
37,0.4808554602993859,0.5826129429870182,0.4358339246776369,0.480814254283905,0.5932740300893784,0.4401285797357559
38,0.476985678407881,0.570177177257008,0.429503421816561,0.4794240176677704,0.5985506877303124,0.44748700857162477
39,0.47465800245602924,0.6060980916851096,0.45815952445069946,0.4760918587446213,0.615228520333767,0.465462364256382
40,0.4715238465203179,0.5916275133107168,0.4480298652662896,0.47305222451686857,0.6274294048547745,0.47663733810186387
41,0.4701197690433926,0.583216606742806,0.4347387686371803,0.47273524701595304,0.6037470191717148,0.45527843460440637
42,0.46954809228579203,0.5714982591465944,0.4347869998904773,0.47374582290649414,0.6029608935117722,0.4596608005464077
43,0.47083450423346623,0.5652268159720633,0.42476255169345273,0.4685783863067627,0.6227227568626403,0.4722397714853287
44,0.46198665499687197,0.6100349311199453,0.46648950063520006,0.4685227483510971,0.6253821194171906,0.47422789335250853
45,0.4625328335497114,0.6120027754041883,0.4598308574822214,0.4669904112815857,0.6103520810604095,0.45881066769361495
46,0.46139304008748794,0.6250707778665755,0.4740227912863096,0.46484375894069674,0.6187514126300812,0.46824820041656495
47,0.4577631288104587,0.6008981782529089,0.4522640166597234,0.4644912272691727,0.5969057574868202,0.4441081076860428
48,0.4592850400341882,0.5987098487773134,0.45628324399973885,0.4644395992159843,0.6196700602769851,0.47056795805692675
49,0.4580132159921858,0.6179139903022184,0.47386880533562764,0.4641617238521576,0.6245550900697708,0.4749485835433006
50,0.4563998149500953,0.6005252122051186,0.4590039720965756,0.4630902498960495,0.631943193078041,0.48315002769231796
